1/2020;76255
2/2020;70477
3/2020;57372
4/2020;36105
5/2020;34836
6/2020;38582
7/2020;48879
8/2020;47262
9/2020;47574
10/2020;50550
11/2020;49142
12/2020;49384
1/2021;53972
2/2021;51099
3/2021;54038
4/2021;47028
5/2021;48221
6/2021;47542
7/2021;48837
8/2021;48241
9/2021;47594
